,ORB Strategy,Buy and Hold
Total Return,4.520050675925488,1.213615529668623
Annualized Return,0.34260542221410906,0.14686690310271944
Maximum Drawdown,-0.1334423676129548,-0.39332951594432153
Sharpe Ratio,0.11280676345299716,0.044556597405767416
